model_id,mean_per_class_error,logloss,rmse,mse
GBM_grid_1_AutoML_5_20260726_213005_model_70,0.0329725021774293,0.051332567692601,0.1313223370263282,0.0172455562020565
GBM_grid_1_AutoML_5_20260726_213005_model_23,0.0329725021774293,0.0773952513069654,0.1609084052596167,0.025891514883193
GBM_grid_1_AutoML_5_20260726_213005_model_9,0.0346522334204305,0.0714437421487333,0.1519174341922541,0.0230789068115578
GBM_grid_1_AutoML_5_20260726_213005_model_94,0.0346522334204305,0.0707700681847301,0.1538613573519338,0.0236733172861794
DeepLearning_grid_3_AutoML_5_20260726_213005_model_3,0.0350877192982456,0.0865508205943149,0.1588304398152514,0.0252271086119062
DeepLearning_grid_2_AutoML_5_20260726_213005_model_2,0.0363319646634316,0.0759073252994277,0.1489793506668029,0.0221948469251022
DeepLearning_grid_1_AutoML_5_20260726_213005_model_10,0.0380116959064327,0.1434418394327366,0.1863549280949172,0.0347281592252617
GBM_grid_1_AutoML_5_20260726_213005_model_103,0.0388204553938036,0.0905639777689886,0.1681480727402031,0.0282737743662446
DeepLearning_grid_1_AutoML_5_20260726_213005_model_8,0.0392559412716187,0.1134202193131471,0.1790831334712102,0.0320707686938673
GBM_grid_1_AutoML_5_20260726_213005_model_7,0.0405001866368047,0.0659101403840681,0.1485754933734141,0.0220746772311534
GBM_grid_1_AutoML_5_20260726_213005_model_74,0.0405001866368047,0.0719012983128431,0.1539026058564854,0.0236860120894167
DeepLearning_1_AutoML_5_20260726_213005,0.0409356725146198,0.1227023227745133,0.1829283013735808,0.0334627634434236
DeepLearning_grid_2_AutoML_5_20260726_213005_model_1,0.0409356725146198,0.2384212161813817,0.2151903473705924,0.0463068856014762
GBM_grid_1_AutoML_5_20260726_213005_model_67,0.0417444320019907,0.0760511343742136,0.1672951100665697,0.0279876538521856
GBM_grid_1_AutoML_5_20260726_213005_model_115,0.0417444320019907,0.0868755024505949,0.1709986172136313,0.029240527088974
